Her father was an Englishman ``of rank and culture'' and her mother was a free woman of color, described as light-skinned. When Mary was six, her mother sent her to Alexandria (then part of the District of Columbia) to attend school. Living with her aunt Mary Paine, Kelsey studied for about ten years.	[Her] [father] [was]1 [an] [Englishman] `` [of]1 [rank] [and]1 [culture] '' [and]2 [her]1 [mother]1 [was]2 [a] [free] [woman] [of]2 [color] , [described] [as] [light-skinned] . [When] [Mary]1 [was]3 [six] , [her]2 [mother]2 [sent] [her]3 [to]1 [Alexandria] ( [then] [part] [of]3 [the] [District] [of]4 [Columbia] ) [to]2 [attend] [school] . [Living] [with] [her]4 [aunt] [Mary]2 [Paine] , [Kelsey] [studied] [for] [about] [ten] [years] . 	[her]1 [mother]1,[her]2 [mother]2@@Her,[her]1,[Mary]1,[her]2,[her]3@@[her]4,[Kelsey]@@[her]4 [aunt],[Mary]2 [Paine]
Her initial ambition was to become a ``cultured'' private secretary working in the highest cultural circles. A month later, the Michigan League building opened, serving co-eds as the Michigan Union served men. Hartwig began by doing secretarial work there, when Dr. Margaret Bell, the head of women's physical education, spotted her.	[Her] [initial] [ambition] [was] [to] [become] [a] `` [cultured] '' [private] [secretary] [working] [in] [the]1 [highest] [cultural] [circles] . [A] [month] [later] , [the]2 [Michigan]1 [League] [building] [opened] , [serving] [co-eds] [as] [the]3 [Michigan]2 [Union] [served] [men] . [Hartwig] [began] [by] [doing] [secretarial] [work] [there] , [when] [Dr.] [Margaret] [Bell] , [the]4 [head] [of] [women] ['s] [physical] [education] , [spotted] [her] . 	[the]2 [Michigan]1 [League] [building],[there]@@[Dr.] [Margaret] [Bell],[the]4 [head] [of] [women] ['s] [physical] [education]
She auditions to be a dancer at Cheung Lai Yuen for a better income and a chance to find her father, who is the Emperor. Evergreen Mak as Ko Yan (**) / Kiu Bo-lung (***), a Music Bureau official who looks over Cheung Lai Yuen. In a quarrel with Ming-but, Bo-lung loses his memory and gets half of his face burnt.	[She] [auditions] [to]1 [be] [a]1 [dancer] [at] [Cheung]1 [Lai]1 [Yuen]1 [for] [a]2 [better] [income] [and]1 [a]3 [chance] [to]2 [find] [her] [father] , [who]1 [is] [the] [Emperor] . [Evergreen] [Mak] [as] [Ko] [Yan] ( * * ) / [Kiu] [Bo-lung]1 ( * * * ) , [a]4 [Music] [Bureau] [official] [who]2 [looks] [over] [Cheung]2 [Lai]2 [Yuen]2 . [In] [a]5 [quarrel] [with] [Ming-but] , [Bo-lung]2 [loses] [his]1 [memory] [and]2 [gets] [half] [of] [his]2 [face] [burnt] . 	[She],[her]@@[her] [father],[the] [Emperor]@@[Evergreen] [Mak],[Ko] [Yan],[Kiu] [Bo-lung]1,[a]4 [Music] [Bureau] [official],[who]2,[Bo-lung]2,[his]1,[his]2@@[Cheung]1 [Lai]1 [Yuen]1,[Cheung]2 [Lai]2 [Yuen]2
Many guests, both European and native, were invited. On approach of the May Frere at port of Bhavnagar, Colonel Barton (the political Agent), Major Woodhouse (the Assistant Political Agent) and Diwan Sahib Samaldas went in a steam launch and brought the Governor and his party ashore.	[Many] [guests] , [both] [European] [and]1 [native] , [were] [invited] . [On] [approach] [of]1 [the]1 [May] [Frere] [at] [port] [of]2 [Bhavnagar] , [Colonel] [Barton] ( [the]2 [political] [Agent]1 ) , [Major] [Woodhouse] ( [the]3 [Assistant] [Political] [Agent]2 ) [and]2 [Diwan] [Sahib] [Samaldas] [went] [in] [a] [steam] [launch] [and]3 [brought] [the]4 [Governor] [and]4 [his] [party] [ashore] . 	[Colonel] [Barton],[the]2 [political] [Agent]1@@[Major] [Woodhouse],[the]3 [Assistant] [Political] [Agent]2@@[the]4 [Governor],[his]
The historical Octavia Minor's first husband was Gaius Claudius Marcellus Minor, and she bore him three children, Marcellus, Claudia Marcella Major and Claudia Marcella Minor; the Octavia in Rome is married to a nobleman named Glabius, with whom she has no children.	[The] [historical] [Octavia]1 [Minor]1 ['s] [first] [husband] [was] [Gaius] [Claudius] [Marcellus]1 [Minor]2 , [and]1 [she]1 [bore] [him] [three] [children]1 , [Marcellus]2 , [Claudia]1 [Marcella]1 [Major] [and]2 [Claudia]2 [Marcella]2 [Minor]3 ; [the] [Octavia]2 [in] [Rome] [is] [married] [to] [a] [nobleman] [named] [Glabius] , [with] [whom] [she]2 [has] [no] [children]2 . 	[The] [historical] [Octavia]1 [Minor]1 ['s],[she]1@@[The] [historical] [Octavia]1 [Minor]1 ['s] [first] [husband],[Gaius] [Claudius] [Marcellus]1 [Minor]2,[him]@@[the] [Octavia]2 [in] [Rome],[she]2
Detective Roe appears, and reveals he is the patriarch of the cannibal family, and the father of Leatherface (who he refers to as ``Gary''). Vanessa never escaped, the hospital room is just one of the family's sheds. Roe pulls a sheet over Vanessa's head, and he and Daisy beat her to death with a wrench.	[Detective] [Roe]1 [appears] , [and]1 [reveals] [he]1 [is]1 [the]1 [patriarch] [of]1 [the]2 [cannibal] [family]1 , [and]2 [the]3 [father] [of]2 [Leatherface] ( [who] [he]2 [refers] [to]1 [as] `` [Gary] '' ) . [Vanessa]1 [never] [escaped] , [the]4 [hospital] [room] [is]2 [just] [one] [of]3 [the]5 [family]2 ['s]1 [sheds] . [Roe]2 [pulls] [a]1 [sheet] [over] [Vanessa]2 ['s]2 [head] , [and]3 [he]3 [and]4 [Daisy] [beat] [her] [to]2 [death] [with] [a]2 [wrench] . 	[Detective] [Roe]1,[he]1,[the]1 [patriarch] [of]1 [the]2 [cannibal] [family]1,[the]3 [father] [of]2 [Leatherface],[he]2,[Roe]2,[he]3@@[Leatherface],[Gary]@@[the]2 [cannibal] [family]1,[the]5 [family]2 ['s]1@@[Vanessa]1,[Vanessa]2 ['s]2,[her]
Later in the day, he announced the reappointment of Paul Biyoghe Mba as Prime Minister; he made the announcement personally ``to underline the importance of this moment''. According to Bongo, Biyoghe Mba had the necessary experience and managerial competence ``to lead us through the next stage'', and he said work would start ``immediately''.	[Later] [in] [the]1 [day] , [he]1 [announced] [the]2 [reappointment] [of]1 [Paul] [Biyoghe]1 [Mba]1 [as] [Prime] [Minister] ; [he]2 [made] [the]3 [announcement] [personally] `` [to]1 [underline] [the]4 [importance] [of]2 [this] [moment] '' . [According] [to]2 [Bongo] , [Biyoghe]2 [Mba]2 [had] [the]5 [necessary] [experience] [and]1 [managerial] [competence] `` [to]3 [lead] [us] [through] [the]6 [next] [stage] '' , [and]2 [he]3 [said] [work] [would] [start] `` [immediately] '' . 	[he]1,[he]2,[Bongo],[he]3@@[Paul] [Biyoghe]1 [Mba]1,[Biyoghe]2 [Mba]2
Finally Tony marries Anne which irks Daniel. Soon life starts disturbing Anne as she finds out that Tony was actually cheating her as he is a conman. Tony explain her why he became a conman and his past struggling life. In between Daniel gets killed by Tony as he tries to rape Anne.	[Finally] [Tony]1 [marries] [Anne]1 [which] [irks] [Daniel]1 . [Soon] [life]1 [starts] [disturbing] [Anne]2 [as]1 [she] [finds] [out] [that] [Tony]2 [was] [actually] [cheating] [her]1 [as]2 [he]1 [is] [a]1 [conman]1 . [Tony]3 [explain] [her]2 [why] [he]2 [became] [a]2 [conman]2 [and] [his] [past] [struggling] [life]2 . [In] [between] [Daniel]2 [gets] [killed] [by] [Tony]4 [as]3 [he]3 [tries] [to] [rape] [Anne]3 . 	[Tony]1,[Tony]2,[he]1,[Tony]3,[he]2,[his],[Tony]4@@[Anne]1,[Anne]2,[she],[her]1,[her]2,[Anne]3@@[Daniel]1,[Daniel]2,[he]3
The explanation offered by Muirhead is more prosaic than the fanciful rumours suggested. He examined the clothing left behind in the lighthouse and concluded that James Ducat and Thomas Marshall had gone down to the western landing stage, and that Donald MacArthur (the 'Occasional') had left the lighthouse during heavy rain in his shirt sleeves.	[The] [explanation] [offered] [by] [Muirhead] [is] [more] [prosaic] [than] [the]1 [fanciful] [rumours] [suggested] . [He] [examined] [the]2 [clothing] [left]1 [behind] [in]1 [the]3 [lighthouse]1 [and]1 [concluded] [that]1 [James] [Ducat] [and]2 [Thomas] [Marshall] [had]1 [gone] [down] [to] [the]4 [western] [landing] [stage] , [and]3 [that]2 [Donald] [MacArthur] ( [the]5 ['Occasional] ' ) [had]2 [left]2 [the]6 [lighthouse]2 [during] [heavy] [rain] [in]2 [his] [shirt] [sleeves] . 	[the]3 [lighthouse]1,[the]6 [lighthouse]2@@[Donald] [MacArthur],[the]5 ['Occasional],[his]@@[Muirhead],[He]
In the second act, Victor's apartment is shown from a different angle, and the Krap home is still visible. For much of the act, that part of the stage is empty, except for a moment where Jacques lights the lamp and paws his master's armchair. At one point, Victor arrives, and Jacques allows him to sit in his father's chair.	[In] [the]1 [second] [act]1 , [Victor]1 ['s]1 [apartment] [is]1 [shown] [from] [a]1 [different] [angle] , [and]1 [the]2 [Krap] [home] [is]2 [still] [visible] . [For] [much] [of]1 [the]3 [act]2 , [that] [part] [of]2 [the]4 [stage] [is]3 [empty] , [except] [for] [a]2 [moment] [where] [Jacques]1 [lights] [the]5 [lamp] [and]2 [paws] [his]1 [master] ['s]2 [armchair] . [At] [one] [point] , [Victor]2 [arrives] , [and]3 [Jacques]2 [allows] [him] [to] [sit] [in] [his]2 [father] ['s]3 [chair] . 	[Victor]1 ['s]1,[Victor]2,[him],[his]2@@[Jacques]1,[his]1,[Jacques]2@@[his]1 [master] ['s]2 [armchair],[his]2 [father] ['s]3 [chair]
His work as an arranger, producer and songwriter throughout the subsequent decades has brought him into contact with the leading Latin artists of the day, including Roc*o D*rcal and Isabel Pantoja. In addition to recording numerous hits on his own, Gabriel has produced albums for D*rcal, Lucha Villa, Lola Beltran and Paul Anka.	[His] [work] [as] [an] [arranger] , [producer] [and]1 [songwriter] [throughout] [the]1 [subsequent] [decades] [has]1 [brought] [him] [into] [contact] [with] [the]2 [leading] [Latin] [artists] [of] [the]3 [day] , [including] [Roc] * [o] [D]1 * [rcal]1 [and]2 [Isabel] [Pantoja] . [In] [addition] [to] [recording] [numerous] [hits] [on] [his] [own] , [Gabriel] [has]2 [produced] [albums] [for] [D]2 * [rcal]2 , [Lucha] [Villa] , [Lola] [Beltran] [and]3 [Paul] [Anka] . 	[His],[him],[his],[Gabriel]@@[the]2 [leading] [Latin] [artists] [of] [the]3 [day],[Roc] * [o] [D]1 * [rcal]1,[Isabel] [Pantoja]@@[Roc] * [o] [D]1 * [rcal]1,[D]2 * [rcal]2
Reviewer Peter Travers wrote in Rolling Stone that ``Streep--at her brilliant, beguiling best--is the spice that does the trick for the yummy Julie & Julia.'' Similarly, Stephanie Zacharek of Salon concluded that ``Streep isn't playing Julia Child here, but something both more elusive and more truthful--she's playing our idea of Julia Child.''	[Reviewer] [Peter] [Travers] [wrote] [in] [Rolling] [Stone] [that]1 `` [Streep]1 -- [at] [her] [brilliant] , [beguiling] [best] -- [is]1 [the]1 [spice] [that]2 [does] [the]2 [trick] [for] [the]3 [yummy] [Julie] & [Julia]1 . '' [Similarly] , [Stephanie] [Zacharek] [of]1 [Salon] [concluded] [that]3 `` [Streep]2 [is]2 [n't] [playing]1 [Julia]2 [Child]1 [here] , [but] [something] [both] [more]1 [elusive] [and] [more]2 [truthful] -- [she] ['s] [playing]2 [our] [idea] [of]2 [Julia]3 [Child]2 . '' 	[Streep]1,[her],[the]1 [spice],[Streep]2,[she] ['s]@@[Julia]1,[Julia]2 [Child]1,[Julia]3 [Child]2@@[something],[our] [idea] [of]2 [Julia]3 [Child]2
At the emergency room, the baby was pronounced dead. Suspicion mounted against Tinning, who was always alone when the children died, but there wasn't any evidence of wrongdoing. However, after a police interrogation, Tinning confessed to smothering Tami Lynne, Nathan, and Timothy (which she later retracted).	[At] [the]1 [emergency] [room] , [the]2 [baby] [was]1 [pronounced] [dead] . [Suspicion] [mounted] [against] [Tinning]1 , [who] [was]2 [always] [alone] [when] [the]3 [children] [died] , [but] [there] [was]3 [n't] [any] [evidence] [of] [wrongdoing] . [However] , [after] [a] [police] [interrogation] , [Tinning]2 [confessed] [to] [smothering] [Tami] [Lynne] , [Nathan] , [and] [Timothy] ( [which] [she] [later] [retracted] ) . 	[Tinning]1,[who],[Tinning]2,[she]@@[the]3 [children],[Tami],[Lynne],[Nathan],[Timothy]
Towards the end of Edward's reign, Alice was accused of making his life a misery and of luring him with her charms only to further her own personal ambitions. According to Charles Cawley, Perrers had three illegitimate children by King Edward, all while their relationship was a secret from his wife, Queen Philippa and the public.	[Towards] [the]1 [end] [of]1 [Edward]1 ['s] [reign] , [Alice] [was]1 [accused] [of]2 [making] [his]1 [life] [a]1 [misery] [and]1 [of]3 [luring] [him] [with] [her]1 [charms] [only] [to]1 [further] [her]2 [own] [personal] [ambitions] . [According] [to]2 [Charles] [Cawley] , [Perrers] [had] [three] [illegitimate] [children] [by] [King] [Edward]2 , [all] [while] [their] [relationship] [was]2 [a]2 [secret] [from] [his]2 [wife] , [Queen] [Philippa] [and]2 [the]2 [public] . 	[Edward]1 ['s],[his]1,[him],[King] [Edward]2,[his]2@@[Alice],[her]1,[her]2,[Perrers]@@[his]2 [wife],[Queen] [Philippa]
Alice Perrers is the protagonist of Emma Campion's novel, The King's Mistress. She appears in Anya Seton's novel, Katherine.	[Alice] [Perrers] [is] [the] [protagonist] [of] [Emma] [Campion] ['s]1 [novel]1 , [The] [King] ['s]2 [Mistress] . [She] [appears] [in] [Anya] [Seton] ['s]3 [novel]2 , [Katherine] . 	[Alice] [Perrers],[the] [protagonist] [of] [Emma] [Campion] ['s]1 [novel]1,[The] [King] ['s]2 [Mistress],[She],[Katherine]
